"A Industrial classfication","TIME Period",T10 Value of shipments_total (14STD05053 In Million Won),T101 Value of products shipped (14STD05053 In Million Won),T102 Sales of by-product and waste (14STD05053 In Million Won),T103 Toll processing income (14STD05053 In Million Won),T104 Income from repair (14STD05053 In Million Won),T20 Gross output (14STD05053 In Million Won),T30 Value added (14STD05053 In Million Won),T40 Major production cost_total (14STD05053 In Million Won),T401 Expense from raw materials (14STD05053 In Million Won),T402 Fuel expense (14STD05053 In Million Won),T403 Electricity cost (14STD05053 In Million Won),T404 Water expense (14STD05053 In Million Won),T405 Outsourced processing fee (14STD05053 In Million Won),T406 Mending fee (14STD05053 In Million Won),T50 Business expenses (14STD05053 In Million Won)
"26310 Manufacture of computer","5Y2020 2020",969878,950554,276,9728,9320,960571,260524,700047,683989,308,629,393,13481,1247,117540
"2632 Manufacture of storage devices and peripheral equipment","5Y2020 2020",2021346,1926937,7708,57169,29532,2038825,775792,1263033,1118981,2900,9988,444,120073,10647,214360
"26321 Manufacture of storage devices","5Y2020 2020",371120,339110,0,30934,1076,372662,180803,191859,169735,605,3895,10,16764,850,21300
"26322 Manufacture of computer monitor","5Y2020 2020",187476,187350,0,0,126,187587,49234,138353,123716,101,347,101,13968,120,1536
"26323 Manufacture of computer printer","5Y2020 2020",534096,498595,2594,15903,17004,538791,139129,399662,379446,116,1225,60,10843,7972,147622
"26329 Manufacture of other peripheral apparatuses","5Y2020 2020",928654,901882,5114,10332,11326,939785,406626,533159,446084,2078,4521,273,78498,1705,43902
"264 Manufacture of communication and broadcasting apparatuses","5Y2020 2020",27266668,26793384,4217,395300,73767,27567642,9083053,18484589,17148765,23574,103235,13044,1097367,98604,9593246
"2641 Manufacture of wire communication apparatuses","5Y2020 2020",2087707,2044193,0,22669,20845,2064246,808376,1255870,1127709,917,8830,514,114285,3615,146895
"26410 Manufacture of wire telecommunication apparatuses","5Y2020 2020",2087707,2044193,0,22669,20845,2064246,808376,1255870,1127709,917,8830,514,114285,3615,146895
"2642 Manufacture of broadcasting and wireless communication apparatuses","5Y2020 2020",25178961,24749191,4217,372631,52922,25503396,8274677,17228719,16021056,22657,94405,12530,983082,94989,9446351
"26421 Manufacture of broadcasting apparatuses","5Y2020 2020",5039526,4944832,3442,58768,32484,5012712,1625098,3387614,3053151,3403,14583,1590,298503,16384,1409616
"26422 Manufacture of mobile phone","5Y2020 2020",16230254,15971368,232,258646,8,16580158,5428475,11151683,10497607,15920,57913,10028,501283,68932,6218213
"26429 Manufacture of other wireless communication apparatuses","5Y2020 2020",3909181,3832991,543,55217,20430,3910526,1221104,2689422,2470298,3334,21909,912,183296,9673,1818522
"265 Manufacture of electronic video and audio equipment","5Y2020 2020",7157102,7033584,5898,114251,3369,7123184,4203251,2919933,2532721,1819,15980,1056,358253,10104,506837
"2651 Manufacture of television, video and other visual equipment","5Y2020 2020",6046892,5974650,4701,65766,1775,6010458,3775853,2234605,2056381,1142,10093,807,159978,6204,106275
"26511 Manufacture of television","5Y2020 2020",4703400,4666482,1787,34296,835,4701541,3396625,1304916,1206870,512,5696,690,87218,3930,46343
"26519 Manufacture of video and other visual equipment","5Y2020 2020",1343492,1308168,2914,31470,940,1308917,379228,929689,849511,630,4397,117,72760,2274,59932
"2652 Manufacture of audio, speaker and other sounding equipment","5Y2020 2020",1110210,1058934,1197,48485,1594,1112726,427398,685328,476340,677,5887,249,198275,3900,400562
"26521 Manufacture of radio, recorder and reproducing apparatuses","5Y2020 2020",203707,181337,1146,20270,954,205457,101083,104374,79538,499,2233,32,21539,533,5827
"26529 Manufacture of other sounding equipment","5Y2020 2020",906503,877597,51,28215,640,907269,326315,580954,396802,178,3654,217,176736,3367,394735
"266 Manufacture of magnetic and optical medium","5Y2020 2020",4835,4835,0,0,0,4813,4228,585,364,1,175,0,21,24,0
"2660 Manufacture of magnetic and optical medium","5Y2020 2020",4835,4835,0,0,0,4813,4228,585,364,1,175,0,21,24,0
"26600 Manufacture of magnetic and optical medium","5Y2020 2020",4835,4835,0,0,0,4813,4228,585,364,1,175,0,21,24,0
"27 Manufacture of medical, precision and optical instruments, watches and clocks","5Y2020 2020",26192287,25399830,21282,322141,449034,26427527,12363885,14063642,12232178,28031,144965,11274,1568666,78528,1696244
"271 Manufacture of medical and dental instruments and supplies","5Y2020 2020",7782807,7662411,5174,79170,36052,7902691,4502815,3399876,2990984,9565,53608,4451,319496,21772,573730
"2711 Manufacture of irradiation and electro-diagnostic apparatuses","5Y2020 2020",3154684,3111054,2719,10200,30711,3171587,1554852,1616735,1503445,2047,10841,1011,91267,8124,148246
"27111 Manufacture of irradiation apparatuses","5Y2020 2020",1123539,1094491,2702,3040,23306,1131724,543973,587751,558836,1372,4605,230,20400,2308,43660
"27112 Manufacture of electro-diagnostic and electro-therapeutic apparatuses","5Y2020 2020",2031145,2016563,17,7160,7405,2039863,1010879,1028984,944609,675,6236,781,70867,5816,104586
"2719 Manufacture of other medical and surgical equipment and orthopedic appliances","5Y2020 2020",4628123,4551357,2455,68970,5341,4731104,2947963,1783141,1487539,7518,42767,3440,228229,13648,425484
"27191 Manufacture of dental instruments and appliances","5Y2020 2020",278083,269026,0,7106,1951,283934,157782,126152,97431,423,2605,119,24668,906,10990
"27192 Manufacture of orthopedic, orthodontic, prosthetic appliances and supplies for disability","5Y2020 2020",1462876,1440021,235,22185,435,1482024,1099922,382102,295244,1997,10089,1758,68636,4378,138611
"27193 Manufacture of eyeglasses and optical lenses","5Y2020 2020",634665,625807,0,8854,4,639992,363213,276779,236142,2139,11935,293,23615,2655,68676
"27194 Manufacture of medical, surgical, dental or veterinary furniture","5Y2020 2020",193326,191180,0,2146,0,199768,93535,106233,98002,318,778,84,6669,382,26588
"27199 Manufacture of other medical and surgical equipment and orthopedic appliances n.e.c.","5Y2020 2020",2059173,2025323,2220,28679,2951,2125386,1233511,891875,760720,2641,17360,1186,104641,5327,180619
"272 Manufacture of measuring, testing, navigating and control equipment; except optical instruments","5Y2020 2020",15477303,14821413,15347,229734,410809,15550739,6691723,8859016,7765462,9651,51322,4323,988368,39890,1000034
"2721 Manufacture of measuring, testing, navigating, control and other precision instrumensts","5Y2020 2020",15477303,14821413,15347,229734,410809,15550739,6691723,8859016,7765462,9651,51322,4323,988368,39890,1000034
"27211 Manufacture of radar, navigation, aeronautical, nautical equipment; measuring and recording equipment","5Y2020 2020",3575570,3175804,12235,107188,280343,3652093,1531260,2120833,1911443,2963,8113,605,188819,8890,131903
"27212 Manufacture of instruments for measuring and testing electricity and electrical signals","5Y2020 2020",614515,600598,0,2611,11306,610480,310052,300428,265987,518,1648,93,31365,817,28031
"27213 Manufacture of physical properties testing, measuring and inspection equipment","5Y2020 2020",5610571,5445217,884,67011,97459,5609185,2534820,3074365,2671726,2511,20807,1054,365941,12326,282680
"27214 Manufacture of speedometers and integrating meters","5Y2020 2020",1668380,1663142,2187,753,2298,1675294,573319,1101975,1036066,1687,6667,299,48265,8991,118941
"27215 Manufacture of environmental controls and automatic controls for appliances","5Y2020 2020",518112,502158,6,14372,1576,523505,239313,284192,239603,227,1697,114,41964,587,49702
"27216 Manufacture of industrial process control equipment","5Y2020 2020",3138120,3083131,35,37569,17385,3120438,1311683,1808755,1506073,1551,10618,2144,280923,7446,370996
"27219 Manufacture of other measuring, testing, navigating, control instrumensts n.e.c.","5Y2020 2020",352035,351363,0,230,442,359744,191276,168468,134564,194,1772,14,31091,833,17781
"273 Manufacture of photographic equipment and optical instruments","5Y2020 2020",2877120,2860949,761,13237,2173,2917776,1136492,1781284,1454221,8777,39713,2496,259615,16462,119181
"2730 Manufacture of photographic equipment and optical instruments","5Y2020 2020",2877120,2860949,761,13237,2173,2917776,1136492,1781284,1454221,8777,39713,2496,259615,16462,119181
"27301 Manufacture of optical lens and elements","5Y2020 2020",2234243,2221817,90,12336,0,2264894,854110,1410784,1175943,7738,37043,2434,172994,14632,65166
"27302 Manufacture of cameras, projectors and related equipment","5Y2020 2020",264307,261756,650,0,1901,274283,80684,193599,118913,68,1048,30,72886,654,35227
"27309 Manufacture of other optical instruments and photographic equipment","5Y2020 2020",378570,377376,21,901,272,378599,201698,176901,159365,971,1622,32,13735,1176,18788
"274 Manufacture of watches, clocks and its parts","5Y2020 2020",55057,55057,0,0,0,56321,32855,23466,21511,38,322,4,1187,404,3299
"2740 Manufacture of watches, clocks and its parts","5Y2020 2020",55057,55057,0,0,0,56321,32855,23466,21511,38,322,4,1187,404,3299
"27400 Manufacture of watches, clocks and its parts","5Y2020 2020",55057,55057,0,0,0,56321,32855,23466,21511,38,322,4,1187,404,3299
"28 Manufacture of electrical equipment","5Y2020 2020",98522925,96101399,1203531,1081494,136501,98328729,33048649,65280080,58474082,178253,987119,58937,5098940,482749,7725807
"281 Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","5Y2020 2020",31656869,30840349,294954,439723,81843,31473471,11635124,19838347,17232102,25851,231165,26360,2208773,114096,1347889
"2811 Manufacture of electric motors, generators and transformers","5Y2020 2020",16395810,15888617,275571,180625,50997,16216175,5872618,10343557,9119657,13468,157079,18690,962922,71741,662192
"28111 Manufacture of electric motors and generators","5Y2020 2020",8597670,8208064,254516,122296,12794,8522439,2826799,5695640,4893918,9170,115987,14240,608316,54009,432694
"28112 Manufacture of transformers","5Y2020 2020",3781276,3742676,19401,19199,0,3716622,1560370,2156252,1987268,2610,25704,1723,130146,8801,22067
"28113 Manufacture of ballasts for lamps","5Y2020 2020",122770,121605,0,1106,59,123018,37238,85780,77598,82,310,26,7602,162,39559
"28114 Manufacture of energy storage system","5Y2020 2020",213288,206325,0,5208,1755,219672,83823,135849,124649,53,463,75,10408,201,4893
"28119 Manufacture of other electric motors, generators and transformers","5Y2020 2020",3680806,3609947,1654,32816,36389,3634424,1364388,2270036,2036224,1553,14615,2626,206450,8568,162979
"2812 Manufacture of electricity distribution and control apparatuses","5Y2020 2020",15261059,14951732,19383,259098,30846,15257296,5762506,9494790,8112445,12383,74086,7670,1245851,42355,685697
"28121 Manufacture of apparatuses for switching, protecting electrical circuits used in power distribution systems","5Y2020 2020",4150537,4086123,2427,57612,4375,4172158,1598359,2573799,2228051,4499,24183,1338,298890,16838,142525
"28122 Manufacture of apparatuses for connecting electrical circuits used in power distribution systems","5Y2020 2020",4613380,4460146,12853,139922,459,4587068,1686598,2900470,2383983,4369,32340,3127,460435,16216,220760
"28123 Manufacture of boards for electric control or distribution","5Y2020 2020",6497142,6405463,4103,61564,26012,6498070,2477549,4020521,3500411,3515,17563,3205,486526,9301,322412
"282 Manufacture of batteries and accumulators","5Y2020 2020",28142414,27060325,856798,215066,10225,28053880,8832798,19221082,17206403,113965,498163,17312,1119353,265886,1012161
"2820 Manufacture of batteries and accumulators","5Y2020 2020",28142414,27060325,856798,215066,10225,28053880,8832798,19221082,17206403,113965,498163,17312,1119353,265886,1012161
"28201 Manufacture of batteries","5Y2020 2020",499147,496216,0,2931,0,500202,172730,327472,297365,324,9507,96,18550,1630,51444
"28202 Manufacture of accumulators","5Y2020 2020",27643267,26564109,856798,212135,10225,27553678,8660068,18893610,16909038,113641,488656,17216,1100803,264256,960717
"283 Manufacture of insulated wires and cables","5Y2020 2020",9236597,9143065,20222,73045,265,9244603,2112345,7132258,6636664,7015,105348,6792,346959,29480,1197670
"2830 Manufacture of insulated wires and cables","5Y2020 2020",9236597,9143065,20222,73045,265,9244603,2112345,7132258,6636664,7015,105348,6792,346959,29480,1197670
"28301 Manufacture of optical fiber cables","5Y2020 2020",536984,529803,0,7181,0,539290,93097,446193,415390,145,1540,3775,23216,2127,137010
"28302 Manufacture of other insulated wires and cables","5Y2020 2020",7466630,7390786,19190,56629,25,7468885,1637250,5831635,5497484,6623,96694,2308,205594,22932,1002968
"28303 Manufacture of insulated codes sets and other conductors for electricity","5Y2020 2020",1232983,1222476,1032,9235,240,1236428,381998,854430,723790,247,7114,709,118149,4421,57692
"284 Manufacture of electric tubes and bulbs and lighting equipment","5Y2020 2020",7932246,7798662,527,123972,9085,7951347,2651272,5300075,4615590,4146,51001,1458,605897,21983,606379
"2841 Manufacture of electric lamps and bulbs","5Y2020 2020",1242113,1227606,267,13961,279,1234411,479703,754708,703951,1983,6167,400,39983,2224,206042
"28410 Manufacture of electric lamps and bulbs","5Y2020 2020",1242113,1227606,267,13961,279,1234411,479703,754708,703951,1983,6167,400,39983,2224,206042
"2842 Manufacture of lighting fixtures","5Y2020 2020",6690133,6571056,260,110011,8806,6716936,2171569,4545367,3911639,2163,44834,1058,565914,19759,400337
"28421 Manufacture of electric lighting fixtures for transportation equipment","5Y2020 2020",4375829,4288799,200,86782,48,4380198,1274498,3105700,2642542,1079,35063,558,411580,14878,146288
"28422 Manufacture of general electric lighting fixtures","5Y2020 2020",1528089,1512057,60,8492,7480,1544117,568123,975994,888003,779,6579,321,77394,2918,213917
"28423 Manufacture of electric lighting fixtures for exhibition and advertisement","5Y2020 2020",669401,660329,0,7870,1202,674019,273633,400386,321942,281,2770,152,73447,1794,34669
"28429 Manufacture of other lighting fixtures","5Y2020 2020",116814,109871,0,6867,76,118602,55315,63287,59152,24,422,27,3493,169,5463
"285 Manufacture of domestic appliances","5Y2020 2020",19127956,18896032,9878,197221,24825,19172153,6738175,12433978,11596241,23130,76648,6115,692457,39387,3364609
"2851 Manufacture of domestic electric appliances","5Y2020 2020",17466727,17274959,9147,157843,24778,17515676,6209748,11305928,10564528,20721,67986,4767,616783,31143,3227272
"28511 Manufacture of electric appliances for kitchen","5Y2020 2020",9961494,9903352,269,55673,2200,10013455,3457432,6556023,6068930,11685,23163,2496,434377,15372,2447891
"28512 Manufacture of of domestic electrothermic appliances","5Y2020 2020",406769,406666,0,103,0,404309,172008,232301,208034,309,5023,76,17510,1349,20202
"28519 Manufacture of other domestic electric appliances","5Y2020 2020",7098464,6964941,8878,102067,22578,7097912,2580308,4517604,4287564,8727,39800,2195,164896,14422,759179
"2852 Manufacture of domestic non-electric cooking and heating appliances","5Y2020 2020",1661229,1621073,731,39378,47,1656477,528427,1128050,1031713,2409,8662,1348,75674,8244,137337
"28520 Manufacture of domestic non-electric cooking and heating appliances","5Y2020 2020",1661229,1621073,731,39378,47,1656477,528427,1128050,1031713,2409,8662,1348,75674,8244,137337
"289 Manufacture of other electrical equipment","5Y2020 2020",2426843,2362966,21152,32467,10258,2433275,1078935,1354340,1187082,4146,24794,900,125501,11917,197099
"2890 Manufacture of other electrical equipment","5Y2020 2020",2426843,2362966,21152,32467,10258,2433275,1078935,1354340,1187082,4146,24794,900,125501,11917,197099
"28901 Manufacture of electric alarm and signalling equipment","5Y2020 2020",543440,537441,18,5390,591,539405,242998,296407,264994,143,1117,43,29509,601,121200
"28902 Manufacture of electrical carbon products and insulators","5Y2020 2020",486058,477609,0,8449,0,482997,210794,272203,235229,3263,14741,187,14861,3922,28267
"28903 Manufacture of traffic signalling equipment","5Y2020 2020",309527,308959,2,0,566,308555,132735,175820,158872,80,300,21,14115,2432,10286
"28909 Manufacture of other electrical equipment n.e.c.","5Y2020 2020",1087818,1038957,21132,18628,9101,1102318,492408,609910,527987,660,8636,649,67016,4962,37346
"29 Manufacture of other machinery and equipment","5Y2020 2020",116942947,113965923,158924,1786670,1031430,117207005,45009015,72197990,59709374,119341,947271,55757,10906211,460036,5002796
"291 Manufacture of general purpose machinery","5Y2020 2020",57021823,55426890,101638,828566,664729,57114482,21636146,35478336,29628797,61333,460649,30618,5085774,211165,3002873
"2911 Manufacture of internal combustion piston engines and turbines, except aircraft, vehicle and cycle propulsion engines","5Y2020 2020",5085233,4948426,36831,96080,3896,5032329,1688290,3344039,2838725,4089,60070,5027,410046,26082,75576
"29111 Manufacture of internal combustion piston engines","5Y2020 2020",4846429,4712278,36831,93424,3896,4794234,1577159,3217075,2752429,4000,57345,4904,373654,24743,70964
"29119 Manufacture of other engines and turbines","5Y2020 2020",238804,236148,0,2656,0,238095,111131,126964,86296,89,2725,123,36392,1339,4612
"2912 Manufacture of fluid power equipment","5Y2020 2020",3123801,3069070,2302,44394,8035,3167757,1205129,1962628,1633097,3682,41219,2276,269441,12913,574565
"29120 Manufacture of fluid power equipment","5Y2020 2020",3123801,3069070,2302,44394,8035,3167757,1205129,1962628,1633097,3682,41219,2276,269441,12913,574565
"2913 Manufacture of pumps and compressors including taps, valves and similar products","5Y2020 2020",10023391,9738382,9064,124145,151800,10086549,3960740,6125809,5318599,13368,85495,6592,662954,38801,644774
"29131 Manufacture of pumps for liquids","5Y2020 2020",1669481,1596293,624,35111,37453,1669744,693391,976353,876323,1535,9942,618,83383,4552,41245
"29132 Manufacture of air or vacuum pumps and compressors","5Y2020 2020",3383036,3248494,3234,19327,111981,3429807,1228777,2201030,2006359,5542,27292,1208,142352,18277,194623
"29133 Manufacture of taps, valves and similar products","5Y2020 2020",4970874,4893595,5206,69707,2366,4986998,2038572,2948426,2435917,6291,48261,4766,437219,15972,408906
"2914 Manufacture of bearings, gears and driving elements","5Y2020 2020",4580937,4434203,6155,139427,1152,4562657,1832469,2730188,2154561,11503,89224,2547,429427,42926,189518
"29141 Manufacture of ball and roller bearings","5Y2020 2020",2742685,2658092,5259,78613,721,2725883,1123792,1602091,1338787,10193,64553,1482,152283,34793,180619
"29142 Manufacture of gears and driving elements","5Y2020 2020",1838252,1776111,896,60814,431,1836774,708677,1128097,815774,1310,24671,1065,277144,8133,8899
"2915 Manufacture of industrial ovens, furnaces and furnace burners","5Y2020 2020",954410,922993,4765,17527,9125,957882,401559,556323,411061,513,4629,142,137028,2950,12877
"29150 Manufacture of industrial ovens, furnaces and furnace burners","5Y2020 2020",954410,922993,4765,17527,9125,957882,401559,556323,411061,513,4629,142,137028,2950,12877
"2916 Manufacture of work trucks, lifting and handling equipment","5Y2020 2020",9331931,8917999,16547,54521,342864,9360942,3677705,5683237,4226138,5752,42996,3596,1382698,22057,85077
"29161 Manufacture of work trucks and loading or unloading machinery","5Y2020 2020",1207560,1181974,14832,8455,2299,1204441,368649,835792,776220,1913,8928,532,43647,4552,3955
"29162 Manufacture of lifting equipment","5Y2020 2020",4091176,3737239,1201,22168,330568,4092310,1799259,2293051,1681332,1588,13353,1098,586252,9428,54917
"29163 Manufacture of conveyors","5Y2020 2020",2857987,2831845,416,22702,3024,2842819,1046423,1796396,1183123,967,7457,562,600138,4149,16477
"29169 Manufacture of other lifting and handling equipment","5Y2020 2020",1175208,1166941,98,1196,6973,1221372,463374,757998,585463,1284,13258,1404,152661,3928,9728
"2917 Manufacture of refrigerating, air conditioning, filtering, distilling equipment and gas generators","5Y2020 2020",18921446,18488583,24765,278388,129710,18918364,6666524,12251840,10611300,18842,113174,8081,1444050,56393,1241737
"29171 Manufacture of refrigerating or freezing industrial equipment","5Y2020 2020",2919527,2820236,316,32927,66048,2942578,1003457,1939121,1731190,2224,15631,845,181766,7465,120240
"29172 Manufacture of air conditioning and control machines","5Y2020 2020",6245285,6100117,17922,95058,32188,6236088,1795948,4440140,4066283,4638,44212,1390,302832,20785,491821
"29173 Manufacture of non-domestic fans and ventilators","5Y2020 2020",1199750,1196635,19,1283,1813,1192550,491945,700605,576983,456,4853,135,115916,2262,26170
"29174 Manufacture of filtering or purifying machinery for air or gases","5Y2020 2020",2548616,2524948,269,12633,10766,2540859,1141045,1399814,1178798,2119,10328,968,203065,4536,225279
"29175 Manufacture of filtering or purifying machinery for liquids or oils","5Y2020 2020",3109755,3020432,878,70829,17616,3131200,1208984,1922216,1669913,2309,16919,1748,218266,13061,187700
"29176 Manufacture of distilling machinery, heat exchangers and gas generators","5Y2020 2020",2898513,2826215,5361,65658,1279,2875089,1025145,1849944,1388133,7096,21231,2995,422205,8284,190527
"2918 Manufacture of office machinery and equipment","5Y2020 2020",1178553,1163951,33,10556,4013,1194602,522004,672598,582938,976,5210,252,80930,2292,52332
"29180 Manufacture of office machinery and equipment","5Y2020 2020",1178553,1163951,33,10556,4013,1194602,522004,672598,582938,976,5210,252,80930,2292,52332
"2919 Manufacture of other general-purpose machinery","5Y2020 2020",3822121,3743283,1176,63528,14134,3833400,1681726,2151674,1852378,2608,18632,2105,269200,6751,126417
"29191 Manufacture of general weighing machinery","5Y2020 2020",135857,135593,82,0,182,132141,55244,76897,72035,79,559,101,3976,147,5540
"29192 Manufacture of machinery for cleaning, packing and charging","5Y2020 2020",1030515,1017533,385,12496,101,1040420,456727,583693,485592,329,4016,657,91385,1714,41079
"29193 Manufacture of equipment for projecting, dispersing or spraying liquids or powders","5Y2020 2020",915566,876550,0,27681,11335,924212,384144,540068,486785,346,3903,1013,46593,1428,35506
"29194 Manufacture of power-driven hand tools","5Y2020 2020",320169,319190,182,700,97,320903,138920,181983,167747,71,1834,64,11792,475,10921
"29199 Manufacture of other general-purpose machinery n.e.c.","5Y2020 2020",1420014,1394417,527,22651,2419,1415724,646691,769033,640219,1783,8320,270,115454,2987,33371
"292 Manufacture of special-purpose machinery","5Y2020 2020",59921124,58539033,57286,958104,366701,60092523,23372869,36719654,30080577,58008,486622,25139,5820437,248871,1999923
"2921 Manufacture of agricultural and forestry machinery","5Y2020 2020",2936496,2893600,901,41848,147,2922262,870054,2052208,1882900,2039,17050,3038,137514,9667,113504
"29210 Manufacture of agricultural and forestry machinery","5Y2020 2020",2936496,2893600,901,41848,147,2922262,870054,2052208,1882900,2039,17050,3038,137514,9667,113504
"2922 Manufacture of metal forming machinery and machine tools","5Y2020 2020",6025135,5832888,815,134166,57266,5996247,2295141,3701106,3118601,4697,43304,1682,508707,24115,99711
"29221 Manufacture of cutting machinery using a laser beam, ultrasonic waves","5Y2020 2020",668418,642616,50,24929,823,636270,250048,386222,336972,386,3971,137,43756,1000,14847
"29222 Manufacture of forming machiney for digital additive manufacturing","5Y2020 2020",137945,108518,3,28673,751,137772,67281,70491,56976,104,1005,24,11978,404,2049
"29223 Manufacture of metal cutting machinery","5Y2020 2020",3269192,3185555,175,32658,50804,3245623,1109410,2136213,1905985,2688,22697,903,187528,16412,31694
"29224 Manufacture of metal shaping machinery","5Y2020 2020",848370,837445,259,5950,4716,881538,389318,492220,398295,678,6398,458,83879,2512,15679
"29229 Manufacture of other forming machinery and machine tools","5Y2020 2020",1101210,1058754,328,41956,172,1095044,479084,615960,420373,841,9233,160,181566,3787,35442
"2923 Manufacture of machinery for metal casting and other metallurgy","5Y2020 2020",381522,358235,881,22276,130,384305,178030,206275,164224,1220,9852,121,28799,2059,3005
"29230 Manufacture of machinery for metal casting and other metallurgy","5Y2020 2020",381522,358235,881,22276,130,384305,178030,206275,164224,1220,9852,121,28799,2059,3005
"2924 Manufacture of machinery for mining, quarrying and construction","5Y2020 2020",9582990,9374426,24400,179704,4460,9502161,3112532,6389629,5391560,11943,91103,3437,841698,49888,324863
"29241 Manufacture of machinery for mining, quarrying and construction","5Y2020 2020",9251590,9045539,24400,177498,4153,9171068,2964022,6207046,5243010,11761,87883,3336,812355,48701,313550
"29242 Manufacture of machinery for treating minerals","5Y2020 2020",331400,328887,0,2206,307,331093,148510,182583,148550,182,3220,101,29343,1187,11313
"2925 Manufacture of machinery for food, beverage and tobacco processing","5Y2020 2020",605284,604066,57,40,1121,601359,258780,342579,274903,361,2381,99,63278,1557,34318
"29250 Manufacture of machinery for food, beverage and tobacco processing","5Y2020 2020",605284,604066,57,40,1121,601359,258780,342579,274903,361,2381,99,63278,1557,34318
"2926 Manufacture of machinery for textile, apparel and leather production","5Y2020 2020",368909,359049,106,9754,0,379599,164414,215185,179758,400,3083,113,30734,1097,1542
"29261 Manufacture of industrial machinery for washing, dyeing, finishing and processing of textile","5Y2020 2020",127518,124264,0,3254,0,131269,54973,76296,65586,156,1101,62,9136,255,19
"29269 Manufacture of other machinery for textiles, apparel and leather processing","5Y2020 2020",241391,234785,106,6500,0,248330,109441,138889,114172,244,1982,51,21598,842,1523
"2927 Manufacture of semi-conductor and display component manufacturing machinery","5Y2020 2020",22925167,22383092,14641,247722,279712,23224028,9264749,13959279,11710936,23554,114694,8297,2010034,91764,1005540
"29271 Manufacture of semi-conductor manufacturing machinery","5Y2020 2020",16471795,16084324,11169,208276,168026,16788998,6767843,10021155,8448964,16056,89183,6785,1382307,77860,904184
"29272 Manufacture of display component manufacturing machinery","5Y2020 2020",6453372,6298768,3472,39446,111686,6435030,2496906,3938124,3261972,7498,25511,1512,627727,13904,101356
"2928 Manufacture of industrial robots","5Y2020 2020",1876404,1864850,86,5298,6170,1867849,674930,1192919,1015450,443,6798,755,167573,1900,69779
"29280 Manufacture of industrial robots","5Y2020 2020",1876404,1864850,86,5298,6170,1867849,674930,1192919,1015450,443,6798,755,167573,1900,69779
"2929 Manufacture of other special purpose machinery","5Y2020 2020",15219217,14868827,15399,317296,17695,15214713,6554239,8660474,6342245,13351,198357,7597,2032100,66824,347661
"29291 Manufacture of machinery for pulp and paper processing","5Y2020 2020",225560,222159,0,3401,0,220709,111601,109108,87916,219,1869,15,18451,638,17152
"29292 Manufacture of machinery for rubber, man-made fiber and plastics processing","5Y2020 2020",1303489,1255201,6857,38809,2622,1289767,509422,780345,611285,1249,18109,854,143738,5110,51354
"29293 Manufacture of machinery for printing and bookbinding","5Y2020 2020",373732,362859,0,10694,179,396672,212015,184657,134587,371,5011,105,43525,1058,6067
"29294 Manufacture of mould and metallic patterns","5Y2020 2020",9030777,8791556,5388,230251,3582,8950481,3900394,5050087,3518544,8268,148474,5649,1318851,50301,199065
"29299 Manufacture of other special purpose machinery, n.e.c.","5Y2020 2020",4285659,4237052,3154,34141,11312,4357084,1820807,2536277,1989913,3244,24894,974,507535,9717,74023
"30 Manufacture of motor vehicles, trailers and semitrailers","5Y2020 2020",195212910,190202961,1347205,3114897,547847,195386142,54038369,141347773,128602982,357725,1377835,70734,10332022,606475,3464354
"301 Manufacture of motor vehicles and engines for motor vehicles","5Y2020 2020",90716116,89257810,936394,7307,514605,90757528,22721443,68036085,63810866,149448,186994,12707,3760218,115852,61490
"3011 Manufacture of engines for motor vehicles","5Y2020 2020",1141858,1135554,349,5904,51,1127344,190001,937343,920804,142,6903,551,6633,2310,0
"30110 Manufacture of engines for motor vehicles","5Y2020 2020",1141858,1135554,349,5904,51,1127344,190001,937343,920804,142,6903,551,6633,2310,0
"3012 Manufacture of motor vehicles","5Y2020 2020",89574258,88122256,936045,1403,514554,89630184,22531442,67098742,62890062,149306,180091,12156,3753585,113542,61490
"30121 Manufacture of passenger motor vehicles","5Y2020 2020",86460485,85083976,860552,1403,514554,86559710,21858962,64700748,60615026,138788,158420,11068,3673626,103820,61490
"30122 Manufacture of truck and motor vehicles for transportation of goods and special purpose","5Y2020 2020",3113773,3038280,75493,0,0,3070474,672480,2397994,2275036,10518,21671,1088,79959,9722,0
"302 Manufacture of bodies for motor vehicles; manufacture of trailers and semi-trailers","5Y2020 2020",3294048,3241129,11300,27997,13622,3297169,991976,2305193,2119294,4521,21822,1472,150075,8009,64907
"3020 Manufacture of bodies for motor vehicles; manufacture of trailers and semi-trailers","5Y2020 2020",3294048,3241129,11300,27997,13622,3297169,991976,2305193,2119294,4521,21822,1472,150075,8009,64907
"30201 Manufacture of motor vehicle bodies and motor vehicles assembled on purchased chassis","5Y2020 2020",2954943,2912142,8586,21081,13134,2961826,869612,2092214,1933584,4152,19301,1337,126955,6885,51333
"30202 Modification of structure and devices of a motor vehicles","5Y2020 2020",63656,61934,0,1722,0,63854,21370,42484,41026,54,312,7,990,95,2341
"30203 Manufacture of trailers and semi-trailers","5Y2020 2020",275449,267053,2714,5194,488,271489,100994,170495,144684,315,2209,128,22130,1029,11233
"303 Manufacture of parts and accessories for motor vehicles(new products)","5Y2020 2020",100901809,97420800,399212,3063627,18170,101030370,30202547,70827823,62516076,203581,1165229,56480,6404981,481476,3333359
